Bioguide,screen_name,campaign,platform,platform_id,followers,tweets
R000600,aumuaamata,0,facebook,,,
Y000064,senatortoddyoung,0,facebook,,,
E000295,senjoniernst,0,facebook,,,
T000476,senatorthomtillis,0,facebook,,,
Y000062,214258646163,0,facebook,,,
Y000033,repdonyoung,0,facebook,,,
W000809,repstevewomack,0,facebook,,,
W000808,repwilson,0,facebook,,,
W000806,repwebster,0,facebook,,,
W000805,markrwarner,0,facebook,,,
W000804,reprobwittman,0,facebook,,,
W000802,senatorwhitehouse,0,facebook,,,
W000800,peterwelch,0,facebook,,,
W000798,repwalberg,0,facebook,,,
W000797,repdws,0,facebook,,,
W000795,joewilson,0,facebook,,,
W000791,repgregwalden,0,facebook,,,
W000437,senatorwicker,0,facebook,,,
W000187,maxinewaters,0,facebook,,,
V000128,chrisvanhollen,0,facebook,,,
V000108,repvisclosky,0,facebook,,,
V000081,8037068318,0,facebook,,,
U000039,senatortomudall,0,facebook,,,
U000031,repfredupton,0,facebook,,,
T000470,congressmanscotttipton,0,facebook,,,
T000469,reppaultonko,0,facebook,,,
T000468,congresswomantitus,0,facebook,,,
T000467,congressmangt,0,facebook,,,
T000464,senatortester,0,facebook,,,
T000463,repmiketurner,0,facebook,,,
T000461,senatortoomey,0,facebook,,,
T000460,repmikethompson,0,facebook,,,
T000238,repmacthornberry,0,facebook,,,
T000193,congressmanbenniegthompson,0,facebook,,,
S001189,repaustinscott,0,facebook,,,
S001187,116058275133542,0,facebook,,,
S001185,repsewell,0,facebook,,,
S001184,senatortimscott,0,facebook,,,
S001183,repdavidschweikert,0,facebook,,,
S001181,senatorshaheen,0,facebook,,,
S001180,repschrader,0,facebook,,,
S001177,153423912663,0,facebook,,,
S001176,repstevescalise,0,facebook,,,
S001175,jackiespeier,0,facebook,,,
S001165,81058818750,0,facebook,,,
S001157,113303673339,0,facebook,,,
S001156,congresswomanlindasanchez,0,facebook,,,
S001150,repadamschiff,0,facebook,,,
S001148,96007744606,0,facebook,,,
S001145,janschakowsky,0,facebook,,,
S001217,rickscottsenoffice,0,facebook,,,
S000770,senatorstabenow,0,facebook,,,
S000510,repadamsmith,0,facebook,,,
S000364,repshimkus,0,facebook,,,
S000344,63158229861,0,facebook,,,
S000320,richardshelby,0,facebook,,,
S000248,repjoseserrano,0,facebook,,,
S000244,repsensenbrenner,0,facebook,,,
S000185,repbobbyscott,0,facebook,,,
S000148,senschumer,0,facebook,,,
S000033,senatorsanders,0,facebook,,,
R000595,senatormarcorubio,0,facebook,,,
R000591,representative.martha.roby,0,facebook,,,
R000588,reprichmond,0,facebook,,,
R000585,reptomreed,0,facebook,,,
R000582,drphilroe,0,facebook,,,
R000577,timryan,0,facebook,,,
R000576,dutchrupp,0,facebook,,,
R000575,congressmanmikedrogers,0,facebook,,,
R000515,congressmanbobbyrush,0,facebook,,,
R000486,reproybalallard,0,facebook,,,
R000395,congressmanhalrogers,0,facebook,,,
R000307,senpatroberts,0,facebook,,,
R000122,senjackreed,0,facebook,,,
Q000023,repmikequigley,0,facebook,,,
P000603,senatorrandpaul,0,facebook,,,
P000601,stevenpalazzo,0,facebook,,,
P000599,bill.posey15,0,facebook,,,
P000597,chelliepingree,0,facebook,,,
P000595,sengarypeters,0,facebook,,,
P000593,repperlmutter,0,facebook,,,
P000523,repdavideprice,0,facebook,,,
P000449,senrobportman,0,facebook,,,
P000197,nancypelosi,0,facebook,,,
P000096,pascrell,0,facebook,,,
P000034,repfrankpallone,0,facebook,,,
O000168,rep.peteolson,0,facebook,,,
N000179,repgracenapolitano,0,facebook,,,
N000147,congresswomannorton,0,facebook,,,
N000015,reprichardneal,0,facebook,,,
N000002,congressmannadler,0,facebook,,,
M001183,joemanchiniii,0,facebook,,,
M001180,repmckinley,0,facebook,,,
M001177,81125319109,0,facebook,,,
M001176,jeffmerkley,0,facebook,,,
M001166,jerrymcnerney,0,facebook,,,
M001165,congressmankevinmccarthy,0,facebook,,,
M001163,doris.matsui,0,facebook,,,
M001160,gwensmoore,0,facebook,,,
M001159,mcmorrisrodgers,0,facebook,,,
M001158,repkennymarchant,0,facebook,,,
M001157,michaeltmccaul,0,facebook,,,
M001156,congressmanmchenry,0,facebook,,,
M001153,senlisamurkowski,0,facebook,,,
M001143,repbettymccollum,0,facebook,,,
M001137,gregorymeeksny05,0,facebook,,,
M000934,jerrymoran,0,facebook,,,
M000639,senatormenendez,0,facebook,,,
M000355,mitchmcconnell,0,facebook,,,
M000312,repjimmcgovern,0,facebook,,,
M000133,edjmarkey,0,facebook,,,
M000087,repcarolynmaloney,0,facebook,,,
L000577,senatormikelee,0,facebook,,,
L000576,rep.billy.long,0,facebook,,,
L000575,senatorlankford,0,facebook,,,
L000570,repbenraylujan,0,facebook,,,
L000569,blaineluetkemeyer,0,facebook,,,
L000566,boblatta,0,facebook,,,
L000565,daveloebsack,0,facebook,,,
L000564,congressmandouglamborn,0,facebook,,,
L000563,repdanlipinski,0,facebook,,,
