screen_name,message,created_at,tweet_id,tfidf_kw1,tfidf_kw2,tfidf_kw3,tfidf_kw4,tfidf_kw5,keybert_kw1,keybert_kw2,keybert_kw3,keybert_kw4,keybert_kw5
reprichhudson,"RT @AllisonWSOC9: Parents say a local program, that’s supposed to help children in need prepare for kindergarten, failed to teach their kid…",Fri Jul 26 19:54:24 +0000 2019,1154842424704929792,children,help,local,need,parents,help children,kindergarten failed,local program,need prepare,parents say
reprichhudson,Representing the men and women who serve at @FtBraggNC is the greatest honor. I enjoyed spending time with some of their kids today while they were visiting our nation’s capital! https://t.co/BXYg1q6Cgy,Fri Jul 26 17:06:00 +0000 2019,1154800043062419456,men women,nation s,s capital,women serve,enjoyed,honor enjoyed,s capital,serve greatest,visiting nation,women serve
reprichhudson,It was a privilege to speak with members of @NCNationalGuard @USNationalGuard this afternoon. We are incredibly blessed to have such selfless leaders in our communities. https://t.co/yh6XqeuRfX,Wed Jul 24 20:03:40 +0000 2019,1154119981187174401,afternoon,blessed,communities,incredibly,leaders,afternoon incredibly,blessed selfless,incredibly blessed,members afternoon,privilege speak
reprichhudson,"Congrats to our new @DeptofDefense Sec., Mark Esper. A veteran himself, @EsperDOD has a terrific record of supporting our Armed Forces. I'll continue to work with him &amp; the Trump Administration to rebuild our military &amp; care for our service members, veterans &amp; their families.",Tue Jul 23 18:58:22 +0000 2019,1153741160571121665,armed forces,continue work,i'll continue,members veterans,rebuild military,esper veteran,i'll continue,new sec,rebuild military,record supporting
reprichhudson,"Today's legislation is a good step, but we need to have a vote on the bipartisan Senate bill with teeth. I’m disappointed not 1 House Democrat is willing to stand against Speaker Pelosi &amp; anti-Israel House Democrats to sign the discharge petition to bring this bill to the floor. https://t.co/zhKiyXhVT2",Tue Jul 23 17:13:30 +0000 2019,1153714769548980225,disappointed house,discharge petition,house democrats,need vote,sign discharge,anti-israel house,bipartisan senate,bring floor,good step,sign discharge
reprichhudson,"The toxic attack on Israel’s right to exist has no place in our society. I encourage my colleagues to support today's legislation condemning the BDS movement. We must confront this anti-Semitic poison head on &amp; stand up for Israel and its citizens.

https://t.co/QIZ0ggTKIP https://t.co/v2B6Qpjazk",Tue Jul 23 17:12:30 +0000 2019,1153714515151900672,bds movement,today's legislation,anti-semitic,attack,citizens,bds movement,confront anti-semitic,encourage colleagues,exist place,israel citizens
reprichhudson,"I can’t believe we will never have the benefit of Leanne's advice, her encouragement, her infectious laugh or her beautiful smile again. Renee and I will keep her family in our prayers.",Mon Jul 22 17:45:31 +0000 2019,1153360439423709185,advice,beautiful,believe,benefit,family,encouragement infectious,family prayers,leanne's advice,smile renee,t believe
reprichhudson,"Beyond that, Leanne cared deeply for our community and went out of her way to help me transition into my current job. It was obvious she was able to do that because she cared so much about the people we both served. This is a tremendous loss and she will be deeply missed.",Mon Jul 22 17:45:19 +0000 2019,1153360386025910272,deeply missed,able,cared,community,current,community went,current job,help transition,leanne cared,loss deeply
reprichhudson,"Renee and I are deeply saddened by the death of Leanne Powell, a dear friend of more than 15 years. Leanne’s compassion, generosity and passion for life were infectious and unmatched. Everyone who knew her knows how fun she was to be around.

https://t.co/BsxraYZ4MC",Mon Jul 22 17:44:51 +0000 2019,1153360270783389697,dear friend,deeply saddened,renee deeply,death,infectious,compassion generosity,death leanne,infectious unmatched,knew knows,leanne powell
reprichhudson,"Congratulations to Concord native and @SpidersCHS graduate, Cydney Clanton! 🏌🏼‍♀️

https://t.co/dLw6nPF7r1",Mon Jul 22 17:01:15 +0000 2019,1153349299725635584,concord,congratulations,native,,,concord native,congratulations concord,cydney clanton,graduate cydney,native graduate
reprichhudson,"@SenThomTillis Happy Birthday, Susan! 🎈🎊🎉🎁🎂😎👍🇺🇸",Sun Jul 21 17:28:58 +0000 2019,1152993886337478656,happy birthday,,,,,birthday susan,happy birthday,,,
reprichhudson,RT @GreenBeretFound: Today we remember Master Sgt. Benjamin A. Stevenson killed in action on this day eight years ago and Staff Sgt. Brando…,Sun Jul 21 17:28:34 +0000 2019,1152993783375642625,killed action,master sgt,staff sgt,ago,remember,killed action,remember master,sgt benjamin,staff sgt,stevenson killed
reprichhudson,"RT @GreenBeretFound: Sgt. 1st Class Elliott Robbins was laid to rest yesterday in Ogden, Utah. Please join us in honoring and remembering S…",Fri Jul 19 15:59:26 +0000 2019,1152246578050191360,join honoring,sgt class,laid,remembering,rest,honoring remembering,join honoring,laid rest,rest yesterday,robbins laid
reprichhudson,"RT @FRCdc: Thank you, @RepRichHudson! #EndInfanticide https://t.co/FGwIVoGiHu",Fri Jul 19 15:31:22 +0000 2019,1152239515253248003,endinfanticide,thank,,,,thank endinfanticide,,,,
reprichhudson,"Today I asked for unanimous consent to vote on the Born-Alive Abortion Survivors Protection Act. 

Today was the 74th time House Democrats blocked consideration of this bill and denied mandatory medical care for every baby born. https://t.co/KrpkdD0vC5",Thu Jul 18 16:32:10 +0000 2019,1151892429454422016,house democrats,medical care,abortion,act,asked,abortion survivors,asked unanimous,blocked consideration,consent vote,house democrats
reprichhudson,"Enjoyed welcoming @VP to @FtBraggNC. Whether it's strengthening opportunities for #MilSpouses, ensuring troops are ready, or caring for veterans, this Admin has shown unparalleled support for our military. I’ll continue to work hand-in-hand w/ @VP &amp; @POTUS on these priorities. https://t.co/BotwjJdnF2",Thu Jul 18 13:53:43 +0000 2019,1151852551740018689,continue work,ll continue,shown unparalleled,support military,unparalleled support,continue work,enjoyed welcoming,opportunities milspouses,shown unparalleled,troops ready
reprichhudson,"As @FtBraggNC’s Congressman, I was proud to welcome @VP Pence to our incredible community. The men and women who serve here are the tip of the spear, and @POTUS and his great administration get it. They have shown unparalleled support for our military community. 🇺🇸 https://t.co/LYQzjygTdW",Wed Jul 17 20:58:45 +0000 2019,1151597126956306432,men women,military community,proud welcome,s congressman,shown unparalleled,administration shown,congressman proud,men women,military community,tip spear
reprichhudson,RT @MorganABC11: HAPPENING NOW: @VP Mike Pence to address nearly 600 soldiers on @FtBraggNC. His visit comes just hours before he heads to…,Wed Jul 17 19:20:04 +0000 2019,1151572292239073281,just hours,mike pence,address,comes,happening,address nearly,hours heads,mike pence,pence address,soldiers visit
reprichhudson,Glad to welcome @VP Pence to @FtBraggNC! https://t.co/AzMr8wXRuy,Wed Jul 17 18:04:18 +0000 2019,1151553226187116544,welcome pence,glad,,,,glad welcome,welcome pence,,,
reprichhudson,"RT @zackroday: “In a Congress with a lot of rancor,” @RepRichHudson said, “this is an example of Republicans and Democrats working together…",Wed Jul 17 15:46:59 +0000 2019,1151518669660446721,congress,democrats,example,lot,republicans,congress lot,democrats working,example republicans,rancor said,republicans democrats
reprichhudson,Joining @HelsinkiComm to examine the important role religious actors and interfaith institutions play in developing strategies to prevent and respond to hate crimes and violence at places of worship. https://t.co/NT9TD9OyVv,Tue Jul 16 15:48:52 +0000 2019,1151156753901522944,important role,examine,institutions,joining,play,developing strategies,hate crimes,interfaith institutions,joining examine,places worship
