screen_name,message,created_at,tweet_id,ollama_kw1,ollama_kw2,ollama_kw3,ollama_kw4,ollama_kw5
reprichhudson,Representing the men and women who serve at @FtBraggNC is the greatest honor. I enjoyed spending time with some of their kids today while they were visiting our nation’s capital! https://t.co/BXYg1q6Cgy,Fri Jul 26 17:06:00 +0000 2019,1154800043062419456,men and women,our nation,,,
reprichhudson,It was a privilege to speak with members of @NCNationalGuard @USNationalGuard this afternoon. We are incredibly blessed to have such selfless leaders in our communities. https://t.co/yh6XqeuRfX,Wed Jul 24 20:03:40 +0000 2019,1154119981187174401,selfless leaders,incredibly blessed,,,
reprichhudson,"Congrats to our new @DeptofDefense Sec., Mark Esper. A veteran himself, @EsperDOD has a terrific record of supporting our Armed Forces. I'll continue to work with him &amp; the Trump Administration to rebuild our military &amp; care for our service members, veterans &amp; their families.",Tue Jul 23 18:58:22 +0000 2019,1153741160571121665,Trump Administration,Rebuild Our Military,Military Care,Armed Forces,Mark Esper
reprichhudson,"Today's legislation is a good step, but we need to have a vote on the bipartisan Senate bill with teeth. I’m disappointed not 1 House Democrat is willing to stand against Speaker Pelosi &amp; anti-Israel House Democrats to sign the discharge petition to bring this bill to the floor. https://t.co/zhKiyXhVT2",Tue Jul 23 17:13:30 +0000 2019,1153714769548980225,Senate bill,House Democrats,Speaker Pelosi,discharge petition,
reprichhudson,"The toxic attack on Israel’s right to exist has no place in our society. I encourage my colleagues to support today's legislation condemning the BDS movement. We must confront this anti-Semitic poison head on &amp; stand up for Israel and its citizens.

https://t.co/QIZ0ggTKIP https://t.co/v2B6Qpjazk",Tue Jul 23 17:12:30 +0000 2019,1153714515151900672,BDS movement,right to exist,anti-Semitic poison,,
reprichhudson,"I can’t believe we will never have the benefit of Leanne's advice, her encouragement, her infectious laugh or her beautiful smile again. Renee and I will keep her family in our prayers.",Mon Jul 22 17:45:31 +0000 2019,1153360439423709185,Leanne's advice,infectious laugh,beautiful smile,,
reprichhudson,"Beyond that, Leanne cared deeply for our community and went out of her way to help me transition into my current job. It was obvious she was able to do that because she cared so much about the people we both served. This is a tremendous loss and she will be deeply missed.",Mon Jul 22 17:45:19 +0000 2019,1153360386025910272,tremendous loss,deeply missed,current job,,
reprichhudson,"Renee and I are deeply saddened by the death of Leanne Powell, a dear friend of more than 15 years. Leanne’s compassion, generosity and passion for life were infectious and unmatched. Everyone who knew her knows how fun she was to be around.

https://t.co/BsxraYZ4MC",Mon Jul 22 17:44:51 +0000 2019,1153360270783389697,Leanne Powell,compassion,generosity,passion for life,
reprichhudson,"Congratulations to Concord native and @SpidersCHS graduate, Cydney Clanton! 🏌🏼‍♀️

https://t.co/dLw6nPF7r1",Mon Jul 22 17:01:15 +0000 2019,1153349299725635584,Concord native,Cydney Clanton,,,
reprichhudson,"@SenThomTillis Happy Birthday, Susan! 🎈🎊🎉🎁🎂😎👍🇺🇸",Sun Jul 21 17:28:58 +0000 2019,1152993886337478656,Happy Birthday,,,,
reprichhudson,"Today I asked for unanimous consent to vote on the Born-Alive Abortion Survivors Protection Act. 

Today was the 74th time House Democrats blocked consideration of this bill and denied mandatory medical care for every baby born. https://t.co/KrpkdD0vC5",Thu Jul 18 16:32:10 +0000 2019,1151892429454422016,Born-Alive Abortion Survivors Protection Act,House Democrats,unanimous consent,,
reprichhudson,"Enjoyed welcoming @VP to @FtBraggNC. Whether it's strengthening opportunities for #MilSpouses, ensuring troops are ready, or caring for veterans, this Admin has shown unparalleled support for our military. I’ll continue to work hand-in-hand w/ @VP &amp; @POTUS on these priorities. https://t.co/BotwjJdnF2",Thu Jul 18 13:53:43 +0000 2019,1151852551740018689,MilSpouses,Strengthening Opportunities,,,
reprichhudson,"As @FtBraggNC’s Congressman, I was proud to welcome @VP Pence to our incredible community. The men and women who serve here are the tip of the spear, and @POTUS and his great administration get it. They have shown unparalleled support for our military community. 🇺🇸 https://t.co/LYQzjygTdW",Wed Jul 17 20:58:45 +0000 2019,1151597126956306432,tip of the spear,military community,unparalleled support,,
reprichhudson,Glad to welcome @VP Pence to @FtBraggNC! https://t.co/AzMr8wXRuy,Wed Jul 17 18:04:18 +0000 2019,1151553226187116544,welcome pence,,,,
reprichhudson,Joining @HelsinkiComm to examine the important role religious actors and interfaith institutions play in developing strategies to prevent and respond to hate crimes and violence at places of worship. https://t.co/NT9TD9OyVv,Tue Jul 16 15:48:52 +0000 2019,1151156753901522944,developing strategies,,,,
reprichhudson,"My wife Renee and I send our deepest condolences to SGM Sartor’s family and teammates. We pray they feel God’s comfort knowing SGM Sartor lived, served our country and died as a hero. We are forever grateful. 🇺🇸 https://t.co/76bb8dwlpz",Mon Jul 15 14:36:52 +0000 2019,1150776247062028289,SGM Sartor,Served our country,,,
